Title,Summary,Architecture of Buildings?
House style recognition using deep convolutional neural network,Summary placeholder related to architecture,yes
Brightearth City Texturing : Faithful Procedural 3d Urban Modeling From Satellite and Ground Imagery,Summary placeholder related to architecture,yes
Classification of architectural styles in Chinese traditional settlements using remote sensing images and building facade pictures,Summary placeholder related to architecture,yes
FLsM: Fuzzy Localization of Image Scenes Based on Large Models,Summary placeholder not related to architecture,no
"Research on Image Classification and Retrieval Using Deep Learning with Attention Mechanism on Diaspora Chinese Architectural Heritage in Jiangmen, China",Summary placeholder related to architecture,yes
"6th International Conference on Dynamics of Information Systems, DIS 2023",Summary placeholder not related to architecture,no
Study on the classification of building based on ResNet,Summary placeholder related to architecture,yes
Deep Learning Understanding Of Skin Disease Management,Summary placeholder not related to architecture,no
Comparison of ResNet50V2 and MobileNetV2 Models in Building Architectural Style Classification,Summary placeholder related to architecture,yes
The Classification Method of Urban Architectural Styles Based on Deep Learning and Street View Imagery,Summary placeholder related to architecture,yes
"Investigation, Evaluation, and Dynamic Monitoring of Traditional Chinese Village Buildings Based on Unmanned Aerial Vehicle Images and Deep Learning Methods",Summary placeholder related to architecture,yes
Iranian Architectural Styles Recognition Using Image Processing and Deep Learning,Summary placeholder related to architecture,yes
Protein secondary structure prediction with context convolutional neural network,Summary placeholder related to architecture,yes
Building Edge Detection Technology from Remote Sensing Image Based on NSCT and Tensor Voting,Summary placeholder related to architecture,yes
Urban Architectural Style Recognition and Dataset Construction Method under Deep Learning of street View Images: A Case Study of Wuhan,Summary placeholder related to architecture,yes
Building pose detection for the characterization of reinforced concrete buildings,Summary placeholder related to architecture,yes
Intelligent machine vision model for building architectural style classification based on deep learning,Summary placeholder related to architecture,yes
Architectural Style Classification Based on Deep Learning,Summary placeholder related to architecture,yes
Urban fabric decoded: High-precision building material identification via deep learning and remote sensing,Summary placeholder related to architecture,yes
Understanding architecture age and style through deep learning,Summary placeholder related to architecture,yes
Hierarchical (multi-label) architectural image recognition and classification,Summary placeholder not related to architecture,no
BUILDING FOOTPRINT EXTRACTION FROM SPACE-BORNE IMAGERY USING DEEP NEURAL NETWORKS,Summary placeholder related to architecture,yes
The Φ-stack for SmartWeb of things,Summary placeholder related to architecture,yes
Architectural style classification of Mexican historical buildings using deep convolutional neural networks and sparse features,Summary placeholder related to architecture,yes
Scrutinization of mammogram images using deep learning,Summary placeholder related to architecture,yes
Generative Deep Learning in Architectural Design,Summary placeholder related to architecture,yes
An extraction method for roof point cloud of ancient building using deep learning framework,Summary placeholder related to architecture,yes
Feasibility Analysis of an AI-Based Classification System for Cultural Heritage Building,Summary placeholder related to architecture,yes
Kangba Region of Sichuan based on swin transformer visual model research on the identification of facades of ethnic buildings,Summary placeholder related to architecture,yes
ARCHITECT: EXTRACTING BUILDING RELATED INFORMATIONS AND CHANGING ARCHITECTURAL STYLE IN AR,Summary placeholder related to architecture,yes
Architectural Style Classification of the Chinese Traditional Settlements using Deep Learning,Summary placeholder not related to architecture,no
Connoisseur: Classification of styles of Mexican architectural heritage with deep learning and visual attention prediction,Summary placeholder related to architecture,yes
Research on classification of architectural style image based on convolution neural network,Summary placeholder not related to architecture,no
3D façade labeling over complex scenarios: A case study using convolutional neural network and structure-from-motion,Summary placeholder related to architecture,yes
Street-Facing Architectural Image Mapping and Architectural Style Map Generation Method Using Street View Images; [街景影像下的临街建筑风格映射及地图生成方法],Summary placeholder related to architecture,yes
Multi-Scale Frequency-Spatial Domain Attention Fusion Network for Building Extraction in Remote Sensing Images,Summary placeholder related to architecture,yes
The Novel End-to-End Style Generation Model for Architectural Style Transfer and Classification,Summary placeholder related to architecture,yes
Deep Learning Architect: Classification for Architectural Design Using Artificial Intelligence,Summary placeholder related to architecture,yes
A Review Paper on Real-Time Video Analysis in Dense Environment for Surveillance System,Summary placeholder not related to architecture,no
A city-scale estimation of rooftop solar photovoltaic potential based on deep learning,Summary placeholder not related to architecture,no
Convolutional Neural Network in the Classification of Architectural Styles of Buildings,Summary placeholder related to architecture,yes
"Proceedings of the 2024 18th International Conference on Ubiquitous Information Management and Communication, IMCOM 2024",Summary placeholder not related to architecture,no
Saliency-based selection of visual content for deep convolutional neural networks: Application to architectural style classification,Summary placeholder not related to architecture,no
Employing Deep Learning Framework to Support Location Management for the Audio-Visual Industry,Summary placeholder related to architecture,yes
"An empirical study on big video data processing: Architectural styles, issues, and challenges",Summary placeholder not related to architecture,no
ARQGAN: An evaluation of generative adversarial network approaches for automatic virtual inpainting restoration of Greek temples,Summary placeholder related to architecture,yes
Towards Hallucinating Machines - Designing with Computational Vision,Summary placeholder related to architecture,yes
AN APPROACH WITH DEEP CONVOLUTIONAL NEURAL NETWORKS FOR ACCURATE ARCHITECTURAL STYLE CLASSIFICATION,Summary placeholder not related to architecture,no
Deep Learning for the Automatic Division of Building Constructions into Sections on Remote Sensing Images,Summary placeholder related to architecture,yes
Data-Driven Interior Plan Generation for Residential Buildings in Vietnam,Summary placeholder related to architecture,yes
Architectural style classification based on DNN model,Summary placeholder related to architecture,yes
Intra-class Classification of Architectural Styles Using Visualization of CNN,Summary placeholder related to architecture,yes
Emotion Detection Based on Facial Expression Using YOLOv5,Summary placeholder not related to architecture,no
Architectural Works of the Early Republic Period from an Artificial Intelligence Perspective; [Yapay Zekâ Perspektifinden Erken Cumhuriyet Dönemi Mimari Eserleri],Summary placeholder related to architecture,yes
"MonuMAI: Dataset, deep learning pipeline and citizen science based app for monumental heritage taxonomy and classification",Summary placeholder related to architecture,yes
Classification of Indian Monument Architecture Styles Using Bi-Level Hybrid Learning Techniques,Summary placeholder not related to architecture,no
AI Image-based Systems for Enhancing the Cultural Tourism Experience,Summary placeholder related to architecture,yes
Collapsed building detection using 3D point clouds and deep learning,Summary placeholder related to architecture,yes
"Towards Classification of Architectural Styles of Chinese Traditional Settlements Using Deep Learning: A Dataset, a New Framework, and Its Interpretability",Summary placeholder related to architecture,yes
Case study for digital cultural content mining,Summary placeholder not related to architecture,no
Simultaneous extraction of spatial and attributional building information across large-scale urban landscapes from high-resolution satellite imagery,Summary placeholder related to architecture,yes
Classification of Turkish and Balkan House Architectures Using Transfer Learning and Deep Learning,Summary placeholder not related to architecture,no
