Original Title,Summary,Concerns Building Architecture (Yes/No)
House style recognition using deep convolutional neural network,"The recent development in deep learning has opened up a new era of possibilities, once difficult to achieve with conventional methods, to revolutionize image recognition, speech recognition, and natural language processing",Yes
Brightearth City Texturing : Faithful Procedural 3d Urban Modeling From Satellite and Ground Imagery,"BrightEarth City Texturing is an automatic and resource-efficient 3D urban modeling pipeline, producing quality low-poly 3D models with high-resolution seamless textures suitable for real-time rendering",Yes
Classification of architectural styles in Chinese traditional settlements using remote sensing images and building facade pictures,The classification of Chinese traditional settlements (CTSs) is extremely important for their differentiated development and protection,Yes
FLsM: Fuzzy Localization of Image Scenes Based on Large Models,This article primarily focuses on the study of image-based localization technology,Yes
"Research on Image Classification and Retrieval Using Deep Learning with Attention Mechanism on Diaspora Chinese Architectural Heritage in Jiangmen, China","The study of the architectural heritage of the Chinese diaspora has an important role and significance in China’s historical and cultural background in the preservation of cultural data, the restoration of images, and in the analysis of human social and ideological conditions",Yes
"6th International Conference on Dynamics of Information Systems, DIS 2023",The proceedings contain 18 papers,Yes
Study on the classification of building based on ResNet,"In real estate appraisal, the building conditions have a significant impact on the asset value",Yes
Deep Learning Understanding Of Skin Disease Management,Deep learning methods are effective in learning characteristics that aid in accurately interpreting complicated patterns,Yes
Comparison of ResNet50V2 and MobileNetV2 Models in Building Architectural Style Classification,Artificial intelligence and image processing methods are key in classifying architectural styles in this digital era,Yes
The Classification Method of Urban Architectural Styles Based on Deep Learning and Street View Imagery,"The task of identifying urban architectural styles occupies a very necessary position in the fields of construction of smart cities, sustainable urban development and community regeneration",Yes
"Investigation, Evaluation, and Dynamic Monitoring of Traditional Chinese Village Buildings Based on Unmanned Aerial Vehicle Images and Deep Learning Methods","The investigation, evaluation, and dynamic monitoring of traditional village buildings are crucial for the protection and inheritance of their architectural styles",Yes
Iranian Architectural Styles Recognition Using Image Processing and Deep Learning,"Iranian architecture, also known as Persian architecture, encompasses the design of buildings in Iran and extends to various regions in West Asia, the Caucasus, and Central Asia",Yes
Protein secondary structure prediction with context convolutional neural network,Protein secondary structure (SS) prediction is important for studying protein structure and function,Yes
Building Edge Detection Technology from Remote Sensing Image Based on NSCT and Tensor Voting,"An edge detection technology based on the combination of non-downsampling contour wave transform (NSCT) and tensor voting is proposed, which aims to obtain more accurate and detailed edge information of buildings in remote sensing images",Yes
Urban Architectural Style Recognition and Dataset Construction Method under Deep Learning of street View Images: A Case Study of Wuhan,"The visual quality and spatial distribution of architectural styles represent a city’s image, influence inhabitants’ living conditions, and may have positive or negative social consequences which are critical to urban sensing and designing",Yes
Building pose detection for the characterization of reinforced concrete buildings,The automated identification of building characteristics for seismic vulnerability remains a challenge for governments due to the high number of buildings in cities,Yes
Intelligent machine vision model for building architectural style classification based on deep learning,This paper presents an intelligent model for building architectural style classification,Yes
Architectural Style Classification Based on Deep Learning,This article analyzes the efficient classification of computer models using different architectural styles,Yes
Urban fabric decoded: High-precision building material identification via deep learning and remote sensing,"Precise identification and categorization of building materials are essential for informing strategies related to embodied carbon reduction, building retrofitting, and circularity in urban environments",Yes
Understanding architecture age and style through deep learning,Architectural styles and their evolution are central to architecture history,Yes
Hierarchical (multi-label) architectural image recognition and classification,The task of architectural image recognition for both architectural functionality and style remains an open challenge,Yes
BUILDING FOOTPRINT EXTRACTION FROM SPACE-BORNE IMAGERY USING DEEP NEURAL NETWORKS,One of the important and high-level detailing contained within basemaps is the ĝ€building feature',Yes
The Φ-stack for SmartWeb of things,"With the emergence of smart IoT, a key problem has becoming increasingly acute: The ""Paradox of Classis Insecta"", which in industry is called the fragmentation problem",Yes
Architectural style classification of Mexican historical buildings using deep convolutional neural networks and sparse features,We propose a convolutional neural network to classify images of buildings using sparse features at the network's input in conjunction with primary color pixel values,Yes
Scrutinization of mammogram images using deep learning,Progressive steps were taken by the deep learning model in a multitude of implementations,Yes
Generative Deep Learning in Architectural Design,"Generative Adversarial Networks (GANs) are an emerging research area in deep learning that have demonstrated impressive abilities to synthesize designs, however, their application in architectural design has been limited",Yes
An extraction method for roof point cloud of ancient building using deep learning framework,"Chinese ancient architecture is a valuable heritage wealth, especially for roof that reflects the construction age, structural features and cultural connotation",Yes
Feasibility Analysis of an AI-Based Classification System for Cultural Heritage Building,The country's historical and artistic heritage represents its identity and history,Yes
Kangba Region of Sichuan based on swin transformer visual model research on the identification of facades of ethnic buildings,The protection and restoration of existing buildings requires accurate acquisition of the characteristics of the building facade,Yes
ARCHITECT: EXTRACTING BUILDING RELATED INFORMATIONS AND CHANGING ARCHITECTURAL STYLE IN AR,"With recent advancements in mobile computing, augmented reality (AR) applications can now achieve real-time performance",Yes
Architectural Style Classification of the Chinese Traditional Settlements using Deep Learning,This paper investigates state-of-the-art deep learning techniques to achieve automatic architectural style classification of the Chinese traditional settlements,Yes
Connoisseur: Classification of styles of Mexican architectural heritage with deep learning and visual attention prediction,"The automatic description of multimedia content was mainly developed for classification tasks, retrieval systems and massive ordering of data",Yes
Research on classification of architectural style image based on convolution neural network,Deep learning is a new field in machine learning research,Yes
3D façade labeling over complex scenarios: A case study using convolutional neural network and structure-from-motion,"Urban environments are regions in which spectral variability and spatial variability are extremely high, with a huge range of shapes and sizes, and they also demand high resolution images for applications involving their study",Yes
Street-Facing Architectural Image Mapping and Architectural Style Map Generation Method Using Street View Images; [街景影像下的临街建筑风格映射及地图生成方法],"Objectives: Each region has specific characteristics of architectural styles, and a detailed investigation of the geographical distribution of architectural styles is conducive to the protection of historic buildings, the development of special tourism resources and the scientific planning of urban architectural areas",Yes
Multi-Scale Frequency-Spatial Domain Attention Fusion Network for Building Extraction in Remote Sensing Images,"Building extraction from remote sensing images holds significant importance in the fields of land resource management, urban planning, and disaster assessment",Yes
The Novel End-to-End Style Generation Model for Architectural Style Transfer and Classification,"Architectural design is a multifaceted process that traditionally requires extensive time and expertise, often leading to inefficiencies and prolonged project timelines",Yes
Deep Learning Architect: Classification for Architectural Design Using Artificial Intelligence,"In this paper, we use cutting-edge deep learning and computer vision to compare architectural designs from various businesses",Yes
A Review Paper on Real-Time Video Analysis in Dense Environment for Surveillance System,"Dense environmental conditions such as snow, fog, lightning, heavy rain, and darkness drastically lower the quality of outdoor surveillance videos",Yes
A city-scale estimation of rooftop solar photovoltaic potential based on deep learning,The estimation of rooftop solar photovoltaic (PV) potential is crucial for policymaking around sustainable energy plans,Yes
Convolutional Neural Network in the Classification of Architectural Styles of Buildings,The article focuses on the implementation of the project for the classification of architectural styles of buildings,Yes
"Proceedings of the 2024 18th International Conference on Ubiquitous Information Management and Communication, IMCOM 2024",The proceedings contain 99 papers,Yes
Saliency-based selection of visual content for deep convolutional neural networks: Application to architectural style classification,"The automatic description of digital multimedia content was mainly developed for classification tasks, retrieval systems and massive ordering of data",Yes
Employing Deep Learning Framework to Support Location Management for the Audio-Visual Industry,This paper presents a specialized tool for film producers and managers to extract useful information from images of different locations,Yes
"An empirical study on big video data processing: Architectural styles, issues, and challenges","Video data contributes to the majority of big data, henceforth, how to efficiently and effectively discovering knowledge from large-scale video data becomes a crucial challenge",Yes
ARQGAN: An evaluation of generative adversarial network approaches for automatic virtual inpainting restoration of Greek temples,Image reconstruction has received much attention and has advanced in recent years with the rise of deep learning,Yes
Towards Hallucinating Machines - Designing with Computational Vision,"There are particular similarities in how machines learn about the nature of their environment, and how humans learn to process visual stimuli",Yes
AN APPROACH WITH DEEP CONVOLUTIONAL NEURAL NETWORKS FOR ACCURATE ARCHITECTURAL STYLE CLASSIFICATION,"Unlike other studies, this study aims to examine the effect of data diversity and quantity on the performance of a model rather than solely focusing on classifying architectural styles",Yes
Deep Learning for the Automatic Division of Building Constructions into Sections on Remote Sensing Images,"Urban areas predominantly consist of complex building structures, which are assembled of multiple building sections",Yes
Data-Driven Interior Plan Generation for Residential Buildings in Vietnam,We propose a new data-driven technique to automatically and efficiently generate floor plans for residential buildings in Vietnam with certain boundaries,Yes
Architectural style classification based on DNN model,Deep neural networks (DNN) have been widely used for image classification,Yes
Intra-class Classification of Architectural Styles Using Visualization of CNN,The classification of architectural style is one of the most challenging problems in architectural history due to its temporal inter-class relationships between different styles and geographical variation within one style,Yes
Emotion Detection Based on Facial Expression Using YOLOv5,"Human emotions can be understood from facial expressions, a type of nonverbal communication",Yes
Architectural Works of the Early Republic Period from an Artificial Intelligence Perspective; [Yapay Zekâ Perspektifinden Erken Cumhuriyet Dönemi Mimari Eserleri],This study presents a versatile approach integrating various neural network architectures with a focus on classifying architectural works,Yes
"MonuMAI: Dataset, deep learning pipeline and citizen science based app for monumental heritage taxonomy and classification",An important part of art history can be discovered through the visual information in monument facades,Yes
Classification of Indian Monument Architecture Styles Using Bi-Level Hybrid Learning Techniques,India is known for its rich architectural and cultural inheritance,Yes
AI Image-based Systems for Enhancing the Cultural Tourism Experience,"Technological innovation, conservation and enhancement are key elements for promoting cultural heritage and attracting visitors worldwide",Yes
Collapsed building detection using 3D point clouds and deep learning,"Collapsed buildings should be detected with the highest priority during earthquake emergency response, due to the associated fatality rates",Yes
"Towards Classification of Architectural Styles of Chinese Traditional Settlements Using Deep Learning: A Dataset, a New Framework, and Its Interpretability",The classification of architectural style for Chinese traditional settlements (CTSs) has become a crucial task for developing and preserving settlements,Yes
Case study for digital cultural content mining,In this chapter we consider an application case of Deep Learning in the task of architectural recognition,Yes
Simultaneous extraction of spatial and attributional building information across large-scale urban landscapes from high-resolution satellite imagery,"Understanding urban dynamics requires comprehensive building analysis, yet current methods focusing on specific aspects hinder the production of unified and large-scale inventories",Yes
Classification of Turkish and Balkan House Architectures Using Transfer Learning and Deep Learning,Classifying architectural structures is an important and challenging task that requires expertise,Yes
