title,abstract,eid
Low-resource GAN-stack for high-resolution floor plan generation with enhanced evaluation and contextual validation,"The fast and reliable prototyping of floor plan layouts is a crucial element in the early stage of the building construction cycle. The purpose of this study is to ameliorate the major difficulties associated with the use of generative adversarial networks (GANs) for automating high-resolution floor plan generation: vast computational and data requirements, training instability, and problematic result evaluation. A stable resource-efficient multi-module GAN-stack framework is proposed comprising pre-processing (denoising and 4× down-sampling), floor plan image generation, and up-sampling modules. Each module is individually optimized. An innovative holistic evaluation framework of the generated building floor plans is presented covering image quality, diversity, truthfulness, overall training time, energy spent during training and associated carbon emissions. A novel validation framework is introduced, involving contextual building functionality, data privacy, capability to manipulate design generation to suit the designer's desires, usability in BIM downstream tasks, and inference speed. Results demonstrate that the apropos network architecture choices allow for significantly cutting down the wall clock training time (<60 h) while maintaining superior generated image quality and contextual meaningfulness, given only sub-thousand 1024 × 1024 training images of single-story residential Danish homes and a limited computing resource (a single RTX-3090 GPU). The proposed computer-aided pipeline may support decisions between architects and their clients. It may broaden access to the GAN-based research on the automation of building design. The presented automated tools could find application in other industries which have the same driving needs and resource constraints for adopting GANs, and that also lack ways of validating their end product. © 2025 The Authors",2-s2.0-105018172465
Connoisseur: Classification of styles of Mexican architectural heritage with deep learning and visual attention prediction,"The automatic description of multimedia content was mainly developed for classification tasks, retrieval systems and massive ordering of data. Preservation of cultural heritage is a field of high importance for application to this method. Our problem is classification of architectural styles of buildings in digital photographs of Mexican cultural heritage. The selection of relevant content in the scene for training classification models allows them to be more precise in the classification task. Here we use a saliency-driven approach to predict visual attention in images and use it to train a Convolutional Neural Network to identify the architectural style of Mexican buildings. Also, we present an analysis of the behavior of the models trained under the traditional cropped image and the prominence maps. In this sense, we show that the performance of the saliency-based CNNs is better than the traditional training reaching a classification rate of 97% in validation dataset. It is considered that style identification with this technique can make a wide contribution in video description tasks, specifically in the automatic documentation of Mexican cultural heritage. © 2017 Association for Computing Machinery.",2-s2.0-85030784474
Deep Learning Architect: Classification for Architectural Design Using Artificial Intelligence,"In this paper, we use cutting-edge deep learning and computer vision to compare architectural designs from various businesses. We trained a squeeze net model using different classification algorithms to identify 1404 architects' photos with 88.6% accuracy by integrating a dataset of web-scraped photographs with our collection of architectural works. By analyzing the weights in the trained Neural Network model, we may determine the extent to which the computer understands common aesthetic traits across architects. We use this metric to categorize buildings by various architects into groups sharing commonalities in their design. We next evaluate our results against the standard categorization used by architects and historians. It is surprising that our classification of architectural styles corroborates commonly held beliefs in the field, and that the acquired knowledge of architectural characteristics is in line with a common appreciation for these styles.  © 2023 IEEE.",2-s2.0-85190511265
Advancing Architectural Design Through Generative Adversarial Network Deep Learning Technology,"Recent advancements in deep learning have popularized Generative Adversarial Networks for image generation. This study investigates integrating Generative Adversarial Networks technology into architectural design to empower architects in creating diverse, innovative, and practical designs. By analyzing architectural research, deep learning theory, and practical Generative Adversarial Networks applications, we substantiate the feasibility of using Generative Adversarial Networks for architectural design optimization. The generated architectural images exhibit significant diversity, innovation, and practicality, inspiring architects with numerous design possibilities. Overall, Generative Adversarial Networks technology not only expands design methodologies but also stimulates groundbreaking innovation in architectural practice. As technology progresses, Generative Adversarial Networks-based architectural design optimization shows promising potential for widespread adoption, heralding a new era of creativity and efficiency in architecture. © 2024 IGI Global. All rights reserved.",2-s2.0-85203104592
Convolutional Neural Network in the Classification of Architectural Styles of Buildings,"The article focuses on the implementation of the project for the classification of architectural styles of buildings. We use modern deep learning methods using convolutional neural networks for realization of this project. Image classification using CNN has many implementations. However, the recognition of architectural styles is not fully researched. This article presents a neural network capable of determining from a photograph of a building its belonging to a certain style of architecture. We train a deep CNN classifier model to classify buildings belonging to 15 different architectural styles. We use a data set that we have collected from open sources of the global Internet to do this. © 2021 IEEE.",2-s2.0-85104706529
AI-Assisted Design: Generative Architectural Design,"By applying computer algorithms, architectural generative design can achieve efficient and precise architectural planning and design. With the development of artificial intelligence technology, architects and industry experts are actively exploring deep learning algorithms, particularly neural network learning, in order to optimize the architectural design workflow and alleviate the workload of designers. Through thorough comparison and research, the author has discovered that Convolutional Neural Networks (CNN), in particular, have the widest range of applications. They can extract various features of buildings and classify these features, thereby assisting us in evaluating and optimizing design systems. By training on existing image data or 3D model data, Generative Adversarial Networks (GANs) can effectively learn from the datasets provided by people. Through the adversarial interplay between the generator and discriminator, GANs continually refine their learning accuracy and subsequently generate new image data.  © 2023 The Authors.",2-s2.0-85181074022
WikiChurches: A Fine-Grained Dataset of Architectural Styles with Real-World Challenges,"We introduce a novel dataset for architectural style classification, consisting of 9,485 images of church buildings. Both images and style labels were sourced from Wikipedia. The dataset can serve as a benchmark for various research fields, as it combines numerous real-world challenges: fine-grained distinctions between classes based on subtle visual features, a comparatively small sample size, a highly imbalanced class distribution, a high variance of viewpoints, and a hierarchical organization of labels, where only some images are labeled at the most precise level. In addition, we provide 631 bounding box annotations of characteristic visual features for 139 churches from four major categories. These annotations can, for example, be useful for research on fine-grained classification, where additional expert knowledge about distinctive object parts is often available. © 2021 Neural information processing systems foundation. All rights reserved.",2-s2.0-105000312985
Deep learning architect: Classification for architectural design through the eye of artificial intelligence,"This paper applies state-of-the-art techniques in deep learning and computer vision to measure visual similarities between architectural designs by different architects. Using a dataset consisting of web-scraped images and an original collection of images of architectural works, we first train a deep convolutional neural network (DCNN) model capable of achieving 73% accuracy in classifying works belonging to 34 different architects. By examining the weights in the trained DCNN model, we are able to quantitatively measure the visual similarities between architects that are implicitly learned by our model. Using this measure, we cluster architects that are identified to be similar and compare our findings to conventional classification made by architectural historians and theorists. Our clustering of architectural designs remarkably corroborates conventional views in architectural history, and the learned architectural features also cohere with the traditional understanding of architectural designs. © Springer Nature Switzerland AG 2019.",2-s2.0-85065916589
Design Education in Human-AI Co-Creation: A Qualitative Analysis of Using Image Generative Models in Conceptual Design,"In the context of ongoing advancements in artificial intelligence technology, creative collaboration between humans and AI has become increasingly common. However, there remains a lack of comprehensive research on the long-term cooperation between creators and AI design tools. This study explores the evolution of the co-creation process between designers and AI through a nine-week innovative training workshop, inviting 30 designers to collaborate with the generative AI tool Midjourney. Four rounds of in-depth interviews were conducted with participants over two months, using the grounded theory method for qualitative analysis. Drawing from the findings, we have identified five core competencies necessary for co-creation with AI and provided suggestions for fostering creative collaboration with AI to guide design educational practice. © 2024 IEEE.",2-s2.0-105009095610
STRATEGIC ADVANCEMENT OF BUILDING INFORMATION MODELLING PRACTICES THROUGH KNOWLEDGE GRAPH CONSTRUCTION USING ONTOLOGY AND DEEP LEARNING,"The integration of data from diverse sources continues to present a significant challenge in the Architecture, Engineering, and Construction (AEC) industry. To address this issue, our proposed approach leverages ontologies to structure and organize the disparate data, while employing deep learning algorithms to extract pertinent information and relationships. The resultant knowledge graph serves as a valuable resource that facilitates decision-making, enhances the management of construction projects, and fosters expert knowledge sharing within the domain. To evaluate the effectiveness of our method, we conducted experiments on a manually built and annotated dataset, and the results demonstrated the approach’s commendable accuracy and efficiency. The proposed knowledge graph, founded upon the synergistic amalgamation of ontology and deep learning, shows the potential to significantly elevate the efficiency and effectiveness of the construction industry by streamlining data integration, fostering knowledge exchange, and empowering stakeholders with informed decision-making capabilities. © Little Lion Scientific.",2-s2.0-85186853908
Convolution-Transformer for Image Feature Extraction,"This study addresses the limitations of Transformer models in image feature extraction, particularly their lack of inductive bias for visual structures. Compared to Convolutional Neural Networks (CNNs), the Transformers are more sensitive to different hyperparameters of optimizers, which leads to a lack of stability and slow convergence. To tackle these challenges, we propose the Convolution-based Efficient Transformer Image Feature Extraction Network (CEFormer) as an enhancement of the Transformer architecture. Our model incorporates E-Attention, depthwise separable convolution, and dilated convolution to introduce crucial inductive biases, such as translation invariance, locality, and scale invariance, into the Transformer framework. Additionally, we implement a lightweight convolution module to process the input images, resulting in faster convergence and improved stability. This results in an efficient convolution combined Transformer image feature extraction network. Experimental results on the ImageNet1k Top-1 dataset demonstrate that the proposed network achieves better accuracy while maintaining high computational speed. It achieves up to 85.0% accuracy across various model sizes on image classification, outperforming various baseline models. When integrated into the Mask Region-Convolutional Neural Network (R-CNN) framework as a backbone network, CEFormer outperforms other models and achieves the highest mean Average Precision (mAP) scores. This research presents a significant advancement in Transformer-based image feature extraction, balancing performance and computational efficiency. © 2024 The Authors. Published by Tech Science Press.",2-s2.0-85200715182
AN APPROACH WITH DEEP CONVOLUTIONAL NEURAL NETWORKS FOR ACCURATE ARCHITECTURAL STYLE CLASSIFICATION,"Unlike other studies, this study aims to examine the effect of data diversity and quantity on the performance of a model rather than solely focusing on classifying architectural styles. It also seeks to emphasize the importance of selecting the appropriate number of classes in architectural style classification and to explore how determining the optimal number of classes affects the model's success. The first dataset comprises the original images (4776 images), the second dataset (10091 images) includes additional data and the third dataset (9552 images) is obtained through data augmentation. Using these three datasets, models were developed by reducing the number of classes with convolutional neural networks (CNNs), which utilize convolution layers to identify local features in the images and classify them by summarizing these features. The results of the developed models show that the method of adding data and increasing data decreased the success of architectural style classification, whereas reducing the number of styles increased it. This study may lay the groundwork for the development of deep learning models for future architectural style classification. The findings of this study can significantly impact various application areas, such as analyzing architectural styles, identifying historical periods and integrating them into architectural education. © 2024, Jomard Publishing. All rights reserved.",2-s2.0-85213398602
Architectural style classification based on DNN model,"Deep neural networks (DNN) have been widely used for image classification. One major hurdle of deep learning approaches is that large sets of labeled data are necessary, which can be prohibitively costly to obtain, particularly in architectural style classification. Data augmentation can alleviate this labeling effort. In this paper, we use data augmentation to increase the number of architectural style datasets. To extract building elements, the inputs are preprocessed by Deformable Part Model (DPM) first, and then the preprocessed images are sent to the data augmentation to increase the number of images. Next, we design a deep neural network based on GoogLeNet. The proposed network aims to learn robust feature embeddings to improve architectural style classification performance. Finally, architectural style can be classified by the robust feature embeddings. Experimental results show that our approach achieves promising performance and is superior to previous methods. © Springer Nature Switzerland AG 2019.",2-s2.0-85086144925
Sailboat Detection Based on Automated Search Attention Mechanism and Deep Learning Models,"The development of deep learning-based visual object recognition has achived great progress in recent years. Deep learning models based on attention mechanisms are able to further improve the ability to detect the regions of interest (ROI), but creating an appropriate module is a difficult task. Therefore, in this paper, we propose an automated design scheme based on neural architecture search (NAS) to migrate the attention mechanism for visual object detection and obtain better results of sailboat detection by using both public datasets and our own collected datasets. We verify the effectiveness of our proffered method and evaluate the performance compared with other algorithms. The obtained results have demonstrated better robustness in terms of generalization than other deep learning models.  © 2021 IEEE.",2-s2.0-85124414569
INCORPORATING PHYSICAL EXPERIMENTATION INTO CREATIVE DL-DRIVEN DESIGN SPACE EXPLORATION,"In the context of ongoing research on incorporating deep learning (DL) strategies in architecture, this paper proposes a proof of concept, for developing a viable DL-driven design workflow with multiple connected DL models that enable various levels of agency. The approach allows design intentions to manifest systematically throughout the process, through identifying the ways of dataset curation, DL models' selection and connection. Importantly, in parallel to the interconnected DL models, a series of physical experiments were conducted for dataset augmentation and evaluation, and to inform the overall process. The formulated system involved protocols where multiple DL models are employed and interconnected to address specific architectural systems and design tasks. Applying this prototype, a test-case experiment was carried out with a parallel logic of the two processes: (1) a physical experiment (material research) and (2) the DL-driven process (a combination of multiple neural networks), incorporated into the design workflow. The physical experiment was directed at learning from fungal natural systems (mycelium) to understand growth behavior and its physical qualities, which influenced the DL testing and evaluation. © 2023 and published by the Association for Computer-Aided Architectural Design Research in Asia (CAADRIA), Hong Kong.",2-s2.0-85197112526
Deep Learning for vision systems in Construction 4.0: a systematic review,"Recently, the construction industry has been digitizing its production processes, the so-called Construction 4.0, in allusion to the paradigm of the fourth industrial revolution. The application of Deep Learning in computer vision systems has been highlighted in Construction 4.0. Thus, the main contribution of this work is to present a systematic review of Deep Learning for vision systems under Construction 4.0, considering the most cited and most recent journal articles between 2017 and 2021 from Scopus database. For this, a research method selected and analyzed 76 published papers. Six main points were evaluated in the proposed methodology: study area, computer vision applications, Deep Learning methods, hyperparameter tuning, data augmentation, and future work. The following topics stand out as relevant perspectives and directions for continued advancement in this field of research: improving Deep Learning models, increasing the quality of databases, investigating the generality techniques and optimizing processing capacity. © 2022, The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature.",2-s2.0-85143226364
Architectural Works of the Early Republic Period from an Artificial Intelligence Perspective; [Yapay Zekâ Perspektifinden Erken Cumhuriyet Dönemi Mimari Eserleri],"This study presents a versatile approach integrating various neural network architectures with a focus on classifying architectural works. To address the lack of suitable datasets in the literature, a custom dataset has been created and made publicly available. The study aims to determine the most effective model, taking into account fine details in architectural styles. In this context, a comparative analysis has been conducted on four different convolutional neural network (CNN) architectures, including a baseline model trained from scratch and models using transfer learning methods with VGG, ResNet, and EfficientNet architectures. Through experiments, the EfficientNet architecture was fine-tuned, achieving an accuracy of %84.65 for 3 architects and %74.08 for 16 architects. Additionally, the two obtained models were used as feature extractors to visualize relationships among architects in a 2D space using t-SNE dimension reduction technique. These promising results indicate that these techniques can significantly contribute to architectural style analysis and serve as valuable tools for creating innovative designs through the use of generative artificial intelligence. © 2024 IEEE.",2-s2.0-85200903651
Understanding Robustness of Transformers for Image Classification,"Deep Convolutional Neural Networks (CNNs) have long been the architecture of choice for computer vision tasks. Recently, Transformer-based architectures like Vision Transformer (ViT) have matched or even surpassed ResNets for image classification. However, details of the Transformer architecture ±such as the use of non-overlapping patches± lead one to wonder whether these networks are as robust. In this paper, we perform an extensive study of a variety of different measures of robustness of ViT models and compare the findings to ResNet baselines. We investigate robustness to input perturbations as well as robustness to model perturbations. We find that when pre-trained with a sufficient amount of data, ViT models are at least as robust as the ResNet counterparts on a broad range of perturbations. We also find that Transformers are robust to the removal of almost any single layer, and that while activations from later layers are highly correlated with each other, they nevertheless play an important role in classification. © 2021 IEEE",2-s2.0-85120710372
Dual hierarchical attention-enhanced transfer learning for semantic segmentation of point clouds in building scene understanding,"Targeted to the challenge of indoor scene understanding for intelligent devices, this paper question focuses on enhancing accuracy in semantic information extraction. A framework including a dual hierarchical attention network, transfer learning, interpretability analysis, and modeling module is applied to segment and reconstruct the indoor scene. A high-rise as-built building case is used to verify the method, the results show that: (1) the method achieves a high mIoU of 0.970 in point cloud segmentation and outperforms state-of-the-art methods, both demonstrating strong performance; (2) the method has sound feature extraction and learning ability in term of the interpretive analysis; (3) the method accelerates by 37 % than manual operations, achieving higher accuracy and efficiency. Overall, the method provides an effective solution to segment multi-class objects for indoor scene understanding and can serve as a basis for automated modeling to contribute to an accurate BIM model with great potential for practical application. © 2024 Elsevier B.V.",2-s2.0-85205894050
A review on artificial intelligence applications for facades,"This review applies a transformer-based topic model to reveal trends and relationships in Artificial Intelligence (AI)-driven facade research, with a focus on architectural, environmental, and structural aspects. AI methods reviewed include Machine Learning (ML), Deep Learning (DL), and Computer Vision (CV). Overall, a significantly growing interest in applying AI methods can be observed across all research areas. However, noticeable differences exist between the three topics. While CV and DL techniques are applied to image data in research on the architectural design of facades, research on environmental aspects of facades often uses numerical data with relatively small datasets and classical ML models. Research on facade structure also tends to use image data but also incorporates numerical performance prediction. A major limitation remains a lack of generalizability, which could be addressed by more comprehensive datasets and novel DL techniques. These include concepts such as Physics-Informed Neural Networks, where domain knowledge is integrated into hybrid data-driven models, and multi-modal diffusion models, which offer generative modeling capabilities to support inverse and forward design tasks. The trends and directions outlined in this review suggest that AI will continue to advance facade research and, in line with other domains, has the potential to achieve a level of maturity suitable for adoption beyond academia and into practice. © 2024 The Authors",2-s2.0-85210859698
Reconsidering Artificial Intelligence as Co-Designer: Using machine learning in architecture from a designer’s perspective,"The research in this paper is presented from the perspective of a designer interested in investigating using artificial intelligence, specifically machine learning, to act as a co-pilot during architectural design phases. Significant recent interest has been evident in, for instance, rapidly developing text-to-image and intelligent chat AI areas. However, we have a particular focus and have undertaken a series of feasibility experiments to explore the potential for enabling a designer's exploitation of machine learning, and consequently in effect, using machine learning as a co-designer. We conclude that the industry would need to develop certain protocols to take advantage of the opportunities available through such an AI-assisted approach. © 2023, Education and research in Computer Aided Architectural Design in Europe. All rights reserved.",2-s2.0-85172471498
A Survey on Deep Learning for Design and Generation of Virtual Architecture,"Three-dimensional (3D) shape generation techniques leveraging deep learning have garnered significant interest from both computer vision and architectural design communities, promising to enrich the content in the virtual environment. However, research on virtual architectural design remains limited, particularly regarding designer-AI collaboration and deep learning-assisted design. In our survey, we reviewed 149 related articles (81.2% of articles published between 2019 and 2023) covering architectural design, 3D shape techniques, and virtual environments. Through scrutinizing the literature, we first identify the principles of virtual architecture and illuminate its current production challenges, including datasets, multimodality, design intuition, and generative frameworks. We then introduce the latest approaches to designing and generating virtual buildings leveraging 3D shape generation and summarize four characteristics of various approaches to virtual architecture. Based on our analysis, we expound on four research agendas, including agency, communication, user consideration, and integrating tools. Additionally, we highlight four important enablers of ubiquitous interaction with immersive systems in deep learning-assisted architectural generation. Our work contributes to fostering understanding between designers and deep learning techniques, broadening access to designer-AI collaboration. We advocate for interdisciplinary efforts to address this timely research topic, facilitating content designing and generation in the virtual environment. © 2024 Copyright held by the owner/author(s). Publication rights licensed to ACM.",2-s2.0-85209409296
Recent advances in deep learning based computer vision,"Deep learning is a hot topic in current AI research and significant progress has been made in a variety of fields, including computer vision and natural language processing. Traditional architecture of deep learning normally based on convolutional neural networks. In recent years, impressive results from Transformer models on natural language tasks have intrigued the vision community to study their application to computer vision problems. Thus, neural networks with Transformer architecture have been introduced to computer vision tasks and even challenge mainstream of traditional convolutional neural network. In this paper, it will review recent improvements in computer vision based on deep learning method. It'll go over some of the most important research in deep learning models. After that, it focus on advances in four key computer vision tasks: picture classification, object identification, semantic segmentation, and human posture estimation. It'll go through the most recent developments in these fields. Finally, it will provide a conclution of recent computer vision advances and discuss future possibility. © 2022 IEEE.",2-s2.0-85148608777
Case study for digital cultural content mining,"In this chapter we consider an application case of Deep Learning in the task of architectural recognition. The main objective is to identify both: architectural styles and specific architectural structures. We are interested in attention mechanisms in Deep CNNs and explain how real visual attention maps built upon human gaze fixations can help in the training of deep neural networks. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2020.",2-s2.0-85078856360
ArchShapeNet: An interpretable 3D-CNN framework for evaluating architectural shapes,"In contemporary architectural design, the increasing complexity and diversity of design demands have made generative plugin tools indispensable for rapidly generating preliminary design concepts and exploring innovative 3D building forms. However, the quality differences between human-designed and machine-generated 3D forms remain challenging to analyze and interpret objectively. This challenge hinders the clear identification of the advantages of human-designed forms over machine-generated ones and limits the further optimization and application of generative tools in architectural design. To address this issue: (1) We developed ArchForms-4000, a dataset comprising 2,000 3D forms designed by professional architects and 2,000 forms generated using Evomass, which is a generative plugin tool. (2) We introduced ArchShapeNet, a 3D convolutional neural network (3D-CNN) designed for the classification and analysis of 3D form data. To align with architectural design requirements, we integrated a 3D saliency feature analysis module, which visually highlights the key form regions that the model prioritizes, offering data-driven insights for design optimization. (3) Comparative experiments demonstrate that our model surpasses professional architects in distinguishing between human-designed and machine-generated forms, achieving a classification accuracy of 94.29%, a precision of 96.2%, and a recall of 98.51%. Moreover, our approach effectively elucidates the differences between generative plugin-generated and architect-designed forms. By examining these differences, we gain deeper insights into architects’ decision-making processes in form design and identify potential limitations in generative plugin tools. This study not only highlights the distinctive advantages of human-designed forms in spatial organization, proportional harmony, and detail refinement but also provides valuable insights for enhancing generative design tools in the future. © The Author(s) 2025",2-s2.0-105014548583
Simultaneous extraction of spatial and attributional building information across large-scale urban landscapes from high-resolution satellite imagery,"Understanding urban dynamics requires comprehensive building analysis, yet current methods focusing on specific aspects hinder the production of unified and large-scale inventories. This study introduces a multi-task deep learning network with a flexible architecture for simultaneously extracting spatial and attributional building information from high-resolution satellite images. This method efficiently segments rooftops and classifies buildings by urban function and architectural style of rooftops. Moreover, a strategic spatial sampling scheme from a data-centric perspective, informed by geographic and environmental diversity, optimizes the selection of representative samples to improve training efficiency and predictive accuracy. Comparative analyses demonstrate the framework's superior performance, achieving an F1 score of 84.30% and an intersection over union of 72.86% in rooftop segmentation, and Kappa scores of 74.67% and 70.04% in classifying urban functions and architectural types, outperforming other advanced models by 2% to 25% across various metrics. Additionally, the adaptability of the network ensures that the framework meets diverse accuracy and efficiency requirements. By applying the proposed methodology to Shanghai, a unified city-scale dataset is generated. This dataset underscores the practical applicability and potential influence of the proposed methods in the fields of urban studies and sustainable development. © 2024 Elsevier Ltd",2-s2.0-85189861815
Computer Vision-based Analysis of Buildings and Built Environments: A Systematic Review of Current Approaches,"Analysing 88 sources published from 2011 to 2021, this article presents a first systematic review of the computer vision-based analysis of buildings and the built environment. Its aim is to assess the potential of this research for architectural studies and the implications of a shift to a cross-disciplinarity approach between architecture and computer science for research problems, aims, processes, and applications. To this end, the types of algorithms and data sources used in the reviewed studies are discussed in respect to architectural applications such as a building classification, detail classification, qualitative environmental analysis, building condition survey, and building value estimation. Based on this, current research gaps and trends are identified, with two main research aims emerging. First, studies that use or optimise computer vision methods to automate time-consuming, labour-intensive, or complex tasks when analysing architectural image data. Second, work that explores the methodological benefits of machine learning approaches to overcome limitations of conventional analysis to investigate new questions about the built environment by finding patterns and relationships among visual, statistical, and qualitative data. The growing body of research offers new methods to architectural and design studies, with the article identifying future challenges and directions of research. © 2023 Copyright held by the owner/author(s). Publication rights licensed to ACM.",2-s2.0-85166228819
Classification of Turkish and Balkan House Architectures Using Transfer Learning and Deep Learning,"Classifying architectural structures is an important and challenging task that requires expertise. Convolutional Neural Networks (CNN), which are a type of deep learning (DL) approach, have shown successful results in computer vision applications when combined with transfer learning. In this study, we utilized CNN based models to classify regional houses from Anatolia and Balkans based on their architectural styles with various pretrained models using transfer learning. We prepared a dataset using various sources and employed data augmentation and mixup techniques to solve the limited data availability problem for certain regional houses to improve the classification performance. Our study resulted in a classifier that successfully distinguishes 15 architectural classes from Anatolia and Balkans. We explain our predictions using grad-cam methodology. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",2-s2.0-85184088628
Evaluating Deep Learning Models for Architectural Image Classification: A Case Study on the UC Davis Campus,"Deep learning has become a cornerstone of machine learning, excelling in tasks that demand intricate data analysis, such as image classification. This study delves into the use of deep learning for architectural images recognition. In this work, we introduce a unique dataset of 25 labeled classes including architectural buildings and departments at the Univeristy of California, Davis. By employing and adapting a range of Convolutional Neural Networks (CNNs) - including MobileNet, ResNet, Xception, Inception, and AlexNet - we comprehensively evaluate their performance in identifying and categorizing distinctive architectural features of the campus. Through a detailed comparative analysis, we highlight the strengths and limitations of each model, shedding light on their practical applications for automated campus management and navigation. Our findings underscore the robustness and adaptability of deep learning in architectural recognition while contributing to the broader discourse on its application in real-world academic settings. This work not only establishes a foundation for future studies but also proposes innovative pathways for integrating deep learning in architectural and campus-focused technologies. © 2024 IEEE.",2-s2.0-105000771911
Form data as a resource in architectural analysis: an architectural distant reading of wooden churches from the Carpathian Mountain regions of Eastern Europe,"Recent research into architectural form analysis using deep learning (DL) methods has shown potential to identify features from large collections of building data, shedding new light into formal aspects of our built environment. As these methods begin to enter architectural, urban, and policy design contexts, it becomes important to develop critical approaches to employing them. In this paper, we document and reflect upon our efforts to create a custom dataset of 3-D models of 331 wooden churches located within the Carpathian Mountains of Eastern Europe, and to use DL methods to explore this dataset with the goal of revealing unexpected formal traits and advancing architectural scholarship on this subject. While existing scholarship groups them into four distinct stylistic categories, our analysis reveals stylistic overlaps, previously undetected micro styles, and shared architectural features. We posit the resulting analyses as an example of an ‘architectural distant reading’ that enriches our understanding of this architectural typology through an unprecedentedly detailed portrait of its formal characteristics based on a large architectural dataset. Crucially, drawing on recent developments in critical data and algorithm studies, we show how the dataset construction and subsequent analyses, and their results, were shaped by slow, manual data curation processes, methodological constraints, subjective decisions, and engagements with archives, domain experts. We thus illustrate how DL techniques might be contextualized for architectural studies in relation to other modes of knowledge and labour, and offer a detailed case study of state-of-the-art computational methods enriching established approaches to architectural form and historical analysis. © 2023 Informa UK Limited, trading as Taylor & Francis Group.",2-s2.0-85158892365
Reproducibility of the Methods in Medical Imaging with Deep Learning,"Concerns about the reproducibility of deep learning research are more prominent than ever, with no clear solution in sight. The Medical Imaging with Deep Learning (MIDL) conference has made advancements in employing empirical rigor with regards to reproducibility by advocating open access, and recently also recommending authors to make their code public-both aspects being adopted by the majority of the conference submissions. We have evaluated all accepted full paper submissions to MIDL between 2018 and 2022 using established, but adjusted guidelines addressing the reproducibility and quality of the public repositories. The evaluations show that publishing repositories and using public datasets are becoming more popular, which helps traceability, but the quality of the repositories shows room for improvement in every aspect. Merely 22% of all submissions contain a repository that was deemed repeatable using our evaluations. From the commonly encountered issues during the evaluations, we propose a set of guidelines for machine learning-related research for medical imaging applications, adjusted specifically for future submissions to MIDL. We presented our results to future MIDL authors who were eager to continue an open discussion on the topic of code reproducibility. © 2023 CC-BY 4.0, A. Simkó, A. Garpebring, J. Jonsson, T. Nyholm & T. Löfstedt.",2-s2.0-85189322413
